id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
375b4acc8c8c9d6973e8ca15d0e45a68034ab395,0,0,"2024-03-17 01:24:16",6216744b018dea3472ba2ac0cd8a8cffd1037cb3,"wonder why the NHS cant put time and effort into contraceptive research? its not just 'pill revolution' we need a socialist revolution. they simply arent paid enough :( profit is not a good enough reason to put half the population's life at risk",0,,
f28cfc11c4c02df8f108feeb8e91ec501d513029,0,1,"2024-02-26 22:11:27",f7c4185f543d4b70f748e5dfb2a1ffb963a42bb4,"Microgynon had me waking up in the middle of the night crying my brains out for no reason",0,,
86eeff75406de1a692680cd59efb8053c5aee7ac,0,0,"2024-02-23 09:51:06",9b245ef830f974164446a7860cba4d053f758e88,"Had my copper iud fitted about 6 months ago. No numbing or anything and it was the worst pain I've ever experienced. Told the numbing isn't necesarry or common practice. The clamps were so sharp and horrid. Disgusting that numbing isn't more widely offered. I put off having one for a year as I was so scared. Thankfully now I'm good for 10 years and it really agrees with me. Dreading 10 years time. Hopefully better practice by then. Also waited 6 months for the appointment.",0,,
5a87613138c5e6cdcc852a97229bfc725c9e4fe7,0,0,"2024-01-05 10:48:25",d87a11d001f3137bccdbe50858bda11705fa9975,"My experience: I've lived most of my life with my natural cycle, I'm in my mid 40s. But I have tried the pill, although I started using it later than many women. I first got the combined pill when I was 26, because that's when I became sexually active. The pill was called Jeanine and I don't remember having any side effects, but a lot was happening in my life so I might not have paid attention. A year later I moved to the UK, and I told my GP the name of the pill I had been on, assuming that he would either prescribe the same or the most similar pill. I got Microgynon that soon gave me painful breasts, weight gain and mood swings. The side effects were so bad, I decided to take a break, and felt so much better, that I never wanted to use any hormones again. Also years later I realised the GP never told me that Microgynon contained an older than Jeanine generation of progestogen. The progestogen in Microgynon is now PROVEN to increase the risk of breast cancer. Fast forward two decades, my periods became heavier and more frequent, and I started suffering from anemia. I have also been diagnosed with Hashimoto's thyroiditis. My GP recommended the desogestrel POP. I was hesitant, but decided to give it a try. Unfortunately it soon gave me awful mood swings. Not normal mood fluctuations, but weird sudden changes. I was feeling good most of the time, better than without the pill, but for the smallest reasons I would get a sudden mood drop, so bad, that I felt violently suicidal. I'm almost 45, I know myself, I've been through good and bad times, including a tragedy in my family, including grief, and I have never experienced anything like I did on desogestrel. So I stopped using it. I also started reading a lot about hormones, and discovered that the pill does not regulate anything, but switches off your own hormones to replace them with artificial substitutes, that are similar to hormones but don't do everything that hormones do. Nobody knows what the long term consequences of living without your natural hormones are. The pill's safety is largely based on the fact that it's ""well tolerated"" by most users. But is it? I now rely on private hormone tests and herbal treatment for regulation of hormones.",0,,
54e570bc8670cacf8d6ba40fda060f2eb743552c,0,2,"2023-12-08 16:10:51",e792d2d2b2f54070dcc2869c24e330479fa5b29e,"You know when you think about it, there's a lot of pressure on women to take a contraceptive despite the side effects. Whether it be the risks of getting a coil fitted or messing with your hormones with pills/injections/implants etc there's really no winning unless you go for condoms, yet I feel like its an expectation from society that if your in a long term relationship, you go on a contraceptive because a condom takes away from the experience, especially for the man in your life. And when we're in it for the long haul, it's because we love our man, so we take the contraceptive. Do you see where I'm going with this? WHY is there no contraceptive for MEN? I've been frustrated for a long time that the responsibility ultimately falls to me to pick a less than ideal solution for us to have sex without consequences, because it is an expectation from society that pregnancy is a woman's responsibility, and thats on top of dealing with pms and periods every month. Don't get me wrong, I love my man, but how great would it be if we could rotate taking turns on a contraceptive? You can take a turn shoving a coil up your doo-dad or taking pills that make you feel foggy and tired and I can enjoy just being in my own skin without the hormone fog or the stress of getting a coil replaced... Just something to think about…",0,,
b75e7fc9b7788316f3362d2cb8b23e9e0bd13ce0,1,2,"2023-12-02 18:20:48",ce38f1d32d70e461a3c88bc6e98449e0edf9ed0f,"I'm a 48 year old female and I can't believe I didn't know a lot of this. The thing that shocked me was the seven day break not needed. This shows if me a 48 year old not knowing then the younger generation haven't got the right support. The thing that gets me is it is all up to us females. Where is the responsibility for the men as it takes two to make a baby. I'm sure if it was men that had to take it then a lot more research would have been done x",0,,
832da35e7a0fab2398bd84c373f0d51327167a96,,0,"2024-01-05 11:09:42",d87a11d001f3137bccdbe50858bda11705fa9975,"The break helped me realise that my side effects were in fact caused by the pill, because some of them went away during the break. They're pushing for no break, for implants and hormonal coils, and then they dismiss the women who complain about the side effects, forcing them to keep using whatever they're using. The long term hormonal contraceptive devices are especially scary to me because they're impossible to remove on your own, and you have to rely on doctors who think they know better than you how you are feeling and why.",1,b75e7fc9b7788316f3362d2cb8b23e9e0bd13ce0,ce38f1d32d70e461a3c88bc6e98449e0edf9ed0f
1cf1fdd4f176bdab98d2c6a5f8fa758a615c32b5,0,0,"2023-11-30 17:34:37",435151746e9bd707089e2cff1d17f9fc34211069,"Yes my daughter had the same issues as yours Davina",0,,
1d299b7a6de8363248295e24f9de80b86bfd6e00,0,0,"2023-10-25 15:42:18",33e5b65bb2fd0698b40fe62cf976edb3401fd5ff,"When I had my coil fitted I have 0 pain relief. No number gel, no injection, I have never had any kids before either. I was only told to take two paracetamol half an hour before my apt.",0,,
32aa9386e0648c113339b8aa1126b257f8a88488,1,2,"2023-10-15 20:04:01",09cf157a4ff2ee080b64148926066bfa308dc4b9,"The implant made me into a horrible person, so aggressive and mean. I got it out after 4 months and I was even tempted to try and remove it myself it made me that mentally unwell. I now use nothing and am pregnant with my third child. After this one i will probably get my tubes tied. Ive also had both coils, expelled one and the other gave me awful tearing pains. Didnt hurt inserting them though, just hurt after. Pill made me bleed wine red slime and had horrific pains. Girls, if you can go natural. I managed to aboid pregnancy for 10 years just using pull out and didnt even track ovulation. It then took me 18 months to fall on with my third when i wasnt tracking ovulation. Its impossible to get pregnant when the egg isn't there! I genuinely feel they scare women into relying on these contraceptives.",0,,
8935bc0f681b61bb56c67140fb739985f024aeff,,0,"2024-01-05 11:15:37",d87a11d001f3137bccdbe50858bda11705fa9975,"Desogestrel progestogen only pill gave me the most scary and unusual mood swings. I can only imagine what it must be like to have it implanted in your body and not be able to remove it. They keep pushing for the long term options, even in people who never tried the pill before, so they can't possibly know what side effects they would have to deal with. I've also been using the pull out method for almost 2 decades and have never been pregnant. For most of that time I kind of thought that if I was to become pregnant, then so be it, although I never actively tried for a baby. Now that I'm in my mid 40s I'm a bit less open to a surprise baby, so I was hopeful desogestrel would work for me. We thought about vasectomy but my partner is in his 60s and to be honest, I don't know if it's worth it. We've added cycle tracking now, but our fertility is likely minimal anyway at this point.",1,32aa9386e0648c113339b8aa1126b257f8a88488,09cf157a4ff2ee080b64148926066bfa308dc4b9
3c48a655a58a4a254bab5cce42dfa225e585292e,0,2,"2023-10-15 19:47:46",09cf157a4ff2ee080b64148926066bfa308dc4b9,"Estrogen is also getting into the water supply from women's urine. Men are literally drinking this water and it's seriously effecting fertility rates. This wasnt an issue when we used to wait to have sex during marriage. It would solve so many issues!",0,,
aaa196f8228fc2681a652eaf32ac54b3d124e2b0,0,0,"2023-10-06 09:15:23",069f1330a30af915da8b9e6e6536a02c4f88bb0b,"Oh there she is Big Pharmas bezzie Davina... 😅😅😅😅",0,,
0339399826c0701f54de0445a4d4da07e4366902,1,0,"2023-08-12 12:35:20",fa40f6617d9072b00970b65f71a73c01dbdb3d9d,"Perhaps men need to have 4 wives each? And not live together. In which case we should disproportionately reproduce a higher amount of females (by not stressing pregnant women and the world would be a safer place.",0,,
